令和６年,社会福祉施設等調査　　令和６年１０月１日,,
第１表　（基本票）社会福祉施設等数，国－都道府県、施設の種類・経営主体の公営－私営別
　　　
,総数,総数,総数,保護施設,保護施設,保護施設,保護施設,保護施設,保護施設,保護施設,保護施設,保護施設,保護施設,保護施設,保護施設,保護施設,保護施設,保護施設,保護施設,保護施設,保護施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,老人福祉施設,障害者支援施設等,障害者支援施設等,障害者支援施設等,障害者支援施設等,障害者支援施設等,障害者支援施設等,障害者支援施設等,障害者支援施設等,障害者支援施設等,障害者支援施設等,障害者支援施設等,障害者支援施設等,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,身体障害者社会参加支援施設,女性自立支援施設,女性自立支援施設,女性自立支援施設,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,児童福祉施設等,母子・父子福祉施設,母子・父子福祉施設,母子・父子福祉施設,母子・父子福祉施設,母子・父子福祉施設,母子・父子福祉施設,母子・父子福祉施設,母子・父子福祉施設,母子・父子福祉施設,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等,その他の社会福祉施設等
秋田県,652,114,538,3,-,3,2,-,2,-,-,-,-,-,-,1,-,1,-,-,-,75,12,63,14,3,11,1,-,1,2,-,2,-,-,-,42,1,41,-,-,-,1,1,-,15,7,8,-,-,-,64,1,63,45,1,44,19,-,19,-,-,-,4,1,3,1,-,1,1,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,1,1,-,312,99,213,10,3,7,1,-,1,7,-,7,175,26,149,12,1,11,163,25,138,28,-,28,12,-,12,7,-,7,-,-,-,1,-,1,-,-,-,8,-,8,4,-,4,4,-,4,2,2,-,3,2,1,-,-,-,1,1,-,1,-,1,-,-,-,45,37,8,28,26,2,1,-,1,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,193,-,193,1,-,1,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,116,-,116,73,-,73
山形県,774,159,615,4,-,4,3,-,3,-,-,-,-,-,-,-,-,-,1,-,1,47,1,46,11,-,11,1,-,1,1,-,1,-,-,-,11,-,11,-,-,-,-,-,-,22,1,21,1,-,1,48,-,48,28,-,28,19,-,19,1,-,1,3,1,2,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,1,1,-,416,156,260,6,5,1,2,1,1,1,-,1,221,57,164,17,2,15,204,55,149,61,-,61,26,-,26,14,-,14,1,-,1,17,-,17,-,-,-,3,-,3,5,-,5,3,3,-,1,1,-,11,3,8,-,-,-,1,1,-,2,-,2,-,-,-,13,5,8,12,4,8,-,-,-,-,-,-,-,-,-,2,2,-,75,74,1,1,-,1,1,-,1,-,-,-,254,-,254,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,244,-,244,7,-,7
福島県,942,190,752,10,1,9,6,-,6,-,-,-,1,-,1,3,1,2,-,-,-,81,17,64,11,2,9,1,-,1,3,-,3,-,-,-,32,-,32,-,-,-,7,7,-,21,6,15,6,2,4,72,-,72,40,-,40,31,-,31,1,-,1,4,-,4,-,-,-,1,-,1,-,-,-,1,-,1,-,-,-,1,-,1,-,-,-,1,-,1,1,1,-,482,169,313,4,1,3,1,1,-,2,-,2,275,126,149,4,2,2,271,124,147,113,1,112,85,1,84,11,-,11,-,-,-,5,-,5,-,-,-,12,-,12,8,-,8,8,1,7,2,2,-,15,2,13,-,-,-,1,1,-,3,-,3,-,-,-,24,18,6,16,6,10,-,-,-,-,-,-,-,-,-,1,1,-,9,9,-,1,1,-,1,1,-,-,-,-,291,1,290,1,-,1,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,177,-,177,111,-,111
茨城県,1429,174,1255,5,-,5,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,111,16,95,12,1,11,1,-,1,2,-,2,-,-,-,48,-,48,-,-,-,6,1,5,34,10,24,8,4,4,137,2,135,83,2,81,54,-,54,-,-,-,4,-,4,-,-,-,1,-,1,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,1,-,1,1,1,-,715,149,566,1,1,-,3,-,3,3,-,3,462,111,351,23,2,21,439,109,330,153,1,152,106,1,105,7,-,7,-,-,-,28,-,28,-,-,-,12,-,12,19,-,19,7,-,7,5,2,3,7,3,4,1,-,1,1,1,-,4,-,4,-,-,-,40,27,13,8,3,5,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,1,-,1,-,-,-,455,6,449,-,-,-,18,-,18,-,-,-,6,6,-,-,-,-,5,-,5,218,-,218,208,-,208
栃木県,987,129,858,4,-,4,2,-,2,-,-,-,1,-,1,1,-,1,-,-,-,58,5,53,10,-,10,-,-,-,-,-,-,-,-,-,26,-,26,-,-,-,4,2,2,18,3,15,-,-,-,100,3,97,51,1,50,44,2,42,5,-,5,4,-,4,1,-,1,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,1,-,1,1,1,-,502,114,388,3,-,3,3,-,3,2,-,2,309,86,223,8,1,7,301,85,216,112,3,109,87,2,85,4,-,4,-,-,-,9,-,9,1,-,1,11,1,10,11,-,11,4,-,4,3,-,3,8,3,5,1,-,1,1,1,-,1,-,1,-,-,-,28,14,14,12,5,7,1,-,1,-,-,-,-,-,-,-,-,-,3,2,1,-,-,-,-,-,-,-,-,-,318,6,312,1,-,1,3,-,3,-,-,-,6,6,-,-,-,-,-,-,-,125,-,125,183,-,183
群馬県,1297,158,1139,3,-,3,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,117,17,100,15,2,13,1,-,1,3,-,3,-,-,-,59,-,59,-,-,-,6,4,2,32,11,21,1,-,1,113,1,112,48,-,48,63,1,62,2,-,2,8,1,7,-,-,-,4,1,3,-,-,-,1,-,1,-,-,-,2,-,2,-,-,-,1,-,1,1,1,-,368,127,241,2,1,1,3,-,3,3,1,2,254,87,167,8,2,6,246,85,161,4,-,4,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,3,-,3,8,-,8,3,1,2,5,1,4,13,1,12,1,-,1,1,1,-,2,-,2,-,-,-,45,20,25,21,13,8,1,-,1,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-,687,11,676,-,-,-,-,-,-,-,-,-,11,11,-,-,-,-,-,-,-,580,-,580,96,-,96
埼玉県,4176,504,3672,6,1,5,2,-,2,-,-,-,3,-,3,1,1,-,-,-,-,207,25,182,17,-,17,1,-,1,7,-,7,-,-,-,76,-,76,-,-,-,-,-,-,84,20,64,22,5,17,217,4,213,102,2,100,115,2,113,-,-,-,9,1,8,1,-,1,3,-,3,1,-,1,1,1,-,-,-,-,2,-,2,-,-,-,1,-,1,1,1,-,2397,460,1937,14,5,9,8,-,8,4,-,4,1417,361,1056,8,-,8,1409,361,1048,716,-,716,498,-,498,149,-,149,-,-,-,11,-,11,2,-,2,56,-,56,22,-,22,4,-,4,8,1,7,43,20,23,2,1,1,1,1,-,3,-,3,1,-,1,60,35,25,80,24,56,-,-,-,-,-,-,-,-,-,-,-,-,14,12,2,4,4,-,4,4,-,-,-,-,1335,8,1327,-,-,-,85,-,85,2,-,2,8,8,-,-,-,-,19,-,19,766,-,766,455,-,455
千葉県,3767,763,3004,5,-,5,4,-,4,-,-,-,1,-,1,-,-,-,-,-,-,190,21,169,18,1,17,1,-,1,6,-,6,-,-,-,90,1,89,-,-,-,1,-,1,47,13,34,27,6,21,187,6,181,86,-,86,99,6,93,2,-,2,10,2,8,-,-,-,5,2,3,-,-,-,2,-,2,-,-,-,1,-,1,1,-,1,1,-,1,2,-,2,2281,726,1555,10,4,6,7,-,7,4,-,4,1225,309,916,25,10,15,1200,299,901,506,3,503,394,3,391,55,-,55,1,-,1,27,-,27,2,-,2,27,-,27,21,1,20,10,-,10,7,3,4,37,14,23,1,-,1,1,1,-,18,-,18,-,-,-,28,15,13,60,37,23,-,-,-,-,-,-,-,-,-,2,1,1,344,338,6,2,2,-,2,2,-,-,-,-,1090,6,1084,1,-,1,93,-,93,-,-,-,6,6,-,-,-,-,23,-,23,827,-,827,140,-,140
東京都,7791,1321,6470,41,-,41,10,-,10,11,-,11,10,-,10,-,-,-,10,-,10,363,101,262,31,-,31,1,-,1,8,-,8,1,-,1,42,-,42,94,-,94,-,-,-,53,17,36,133,84,49,265,7,258,95,-,95,157,7,150,13,-,13,25,5,20,2,-,2,7,3,4,-,-,-,3,-,3,1,-,1,6,2,4,5,-,5,1,-,1,5,-,5,5377,1205,4172,38,14,24,11,-,11,32,-,32,3623,634,2989,60,12,48,3563,622,2941,866,29,837,450,1,449,40,-,40,10,2,8,309,26,283,7,-,7,50,-,50,58,-,58,9,-,9,11,3,8,59,20,39,-,-,-,2,2,-,-,-,-,-,-,-,365,281,84,219,138,81,-,-,-,-,-,-,-,-,-,-,-,-,84,84,-,-,-,-,-,-,-,-,-,-,1715,3,1712,9,2,7,133,-,133,4,-,4,-,-,-,-,-,-,54,-,54,1116,1,1115,399,-,399
神奈川県,5033,333,4700,10,-,10,5,-,5,3,-,3,2,-,2,-,-,-,-,-,-,126,13,113,17,-,17,1,-,1,12,-,12,-,-,-,35,-,35,-,-,-,5,1,4,51,9,42,5,3,2,434,3,431,88,3,85,345,-,345,1,-,1,17,2,15,1,-,1,4,-,4,1,-,1,2,-,2,2,-,2,4,2,2,-,-,-,3,-,3,1,-,1,2857,314,2543,26,8,18,10,1,9,10,1,9,1933,184,1749,15,-,15,1918,184,1734,576,-,576,424,-,424,61,-,61,10,-,10,65,-,65,-,-,-,16,-,16,33,1,32,15,1,14,14,4,10,37,2,35,3,1,2,3,2,1,24,-,24,-,-,-,107,43,64,26,26,-,-,-,-,-,-,-,-,-,-,39,39,-,1,1,-,1,-,1,1,-,1,-,-,-,1587,1,1586,-,-,-,138,-,138,-,-,-,4,1,3,-,-,-,12,-,12,1202,-,1202,231,-,231
新潟県,1370,508,862,5,1,4,4,1,3,-,-,-,1,-,1,-,-,-,-,-,-,125,14,111,15,4,11,1,-,1,3,1,2,-,-,-,59,-,59,-,-,-,3,1,2,40,7,33,4,1,3,155,8,147,58,6,52,97,2,95,-,-,-,4,-,4,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,1,1,-,807,483,324,4,1,3,2,-,2,3,1,2,495,296,199,67,3,64,428,293,135,60,1,59,40,-,40,5,-,5,1,-,1,1,1,-,-,-,-,13,-,13,5,1,4,8,4,4,3,2,1,9,4,5,-,-,-,1,1,-,-,-,-,-,-,-,33,17,16,13,7,6,-,-,-,1,-,1,-,-,-,23,1,22,147,147,-,-,-,-,-,-,-,-,-,-,273,1,272,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,158,-,158,114,-,114
富山県,550,125,425,3,-,3,1,-,1,-,-,-,2,-,2,-,-,-,-,-,-,48,3,45,4,1,3,-,-,-,2,-,2,-,-,-,21,-,21,-,-,-,1,-,1,20,2,18,-,-,-,49,-,49,27,-,27,22,-,22,-,-,-,3,-,3,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,-,-,-,238,122,116,6,4,2,1,-,1,-,-,-,150,97,53,10,1,9,140,96,44,17,-,17,5,-,5,-,-,-,-,-,-,2,-,2,-,-,-,10,-,10,3,-,3,2,2,-,2,-,2,5,1,4,-,-,-,1,1,-,1,-,1,-,-,-,21,11,10,24,2,22,1,-,1,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,209,-,209,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,116,-,116,92,-,92
石川県,636,134,502,3,-,3,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,66,5,61,8,-,8,1,-,1,1,-,1,-,-,-,29,-,29,-,-,-,3,1,2,16,2,14,8,2,6,52,-,52,25,-,25,23,-,23,4,-,4,4,-,4,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,1,-,1,1,1,-,304,127,177,5,5,-,2,-,2,2,-,2,165,82,83,76,33,43,89,49,40,8,-,8,8,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,7,3,-,3,5,1,4,8,1,7,-,-,-,1,1,-,4,-,4,-,-,-,41,27,14,49,9,40,3,-,3,-,-,-,-,-,-,-,-,-,1,1,-,1,-,1,1,-,1,-,-,-,205,1,204,-,-,-,-,-,-,-,-,-,10,-,10,-,-,-,-,-,-,167,-,167,28,1,27
福井県,447,157,290,2,-,2,1,-,1,-,-,-,1,-,1,-,-,-,-,-,-,37,3,34,7,-,7,1,-,1,2,-,2,-,-,-,18,-,18,-,-,-,-,-,-,9,3,6,-,-,-,40,-,40,28,-,28,11,-,11,1,-,1,3,-,3,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,1,1,-,265,147,118,5,3,2,2,-,2,1,-,1,130,88,42,2,-,2,128,88,40,11,4,7,6,1,5,1,1,-,1,1,-,-,-,-,-,-,-,3,1,2,5,-,5,2,-,2,1,1,-,7,2,5,-,-,-,1,1,-,4,-,4,-,-,-,58,18,40,30,23,7,2,1,1,-,-,-,-,-,-,5,5,-,1,1,-,1,-,1,1,-,1,-,-,-,98,6,92,-,-,-,-,-,-,1,-,1,5,5,-,-,-,-,-,-,-,35,1,34,57,-,57
山梨県,543,173,370,3,-,3,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,51,15,36,7,-,7,1,-,1,2,-,2,-,-,-,13,-,13,-,-,-,7,-,7,20,14,6,1,1,-,61,1,60,28,-,28,32,1,31,1,-,1,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,-,-,-,296,157,139,4,3,1,2,-,2,-,-,-,164,93,71,25,5,20,139,88,51,40,3,37,25,-,25,6,3,3,2,-,2,2,-,2,-,-,-,5,-,5,7,-,7,1,-,1,1,1,-,7,1,6,1,1,-,1,1,-,2,-,2,2,-,2,35,32,3,20,14,6,-,-,-,-,-,-,-,-,-,9,8,1,-,-,-,1,-,1,1,-,1,-,-,-,129,-,129,-,-,-,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,50,-,50,77,-,77
長野県,1618,651,967,7,2,5,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,140,52,88,23,5,18,1,-,1,4,-,4,-,-,-,35,-,35,-,-,-,5,4,1,53,31,22,19,12,7,152,8,144,58,2,56,94,6,88,-,-,-,8,1,7,1,-,1,4,-,4,-,-,-,1,1,-,-,-,-,1,-,1,-,-,-,1,-,1,1,1,-,853,540,313,19,11,8,4,-,4,3,1,2,502,389,113,67,39,28,435,350,85,56,-,56,39,-,39,3,-,3,1,-,1,5,-,5,-,-,-,8,-,8,15,-,15,1,-,1,5,3,2,13,2,11,1,-,1,1,1,-,6,-,6,2,-,2,91,63,28,81,18,63,-,-,-,-,-,-,-,-,-,2,1,1,51,51,-,-,-,-,-,-,-,-,-,-,457,47,410,37,24,13,1,1,-,1,-,1,22,22,-,-,-,-,-,-,-,270,-,270,126,-,126
岐阜県,1218,240,978,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,119,22,97,21,3,18,1,-,1,-,-,-,-,-,-,41,-,41,-,-,-,8,5,3,34,11,23,14,3,11,80,-,80,44,-,44,35,-,35,1,-,1,3,-,3,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,1,-,1,545,212,333,5,5,-,2,-,2,3,-,3,320,167,153,63,29,34,257,138,119,91,3,88,72,-,72,10,1,9,1,-,1,-,-,-,-,-,-,8,2,6,10,-,10,2,-,2,1,1,-,11,6,5,1,-,1,1,1,-,5,-,5,-,-,-,47,19,28,36,-,36,-,-,-,-,-,-,-,-,-,1,1,-,9,9,-,2,-,2,2,-,2,-,-,-,467,6,461,-,-,-,-,-,-,1,-,1,6,6,-,-,-,-,-,-,-,378,-,378,82,-,82
静岡県,1637,195,1442,8,-,8,7,-,7,-,-,-,1,-,1,-,-,-,-,-,-,116,4,112,23,1,22,1,-,1,3,-,3,-,-,-,56,-,56,-,-,-,-,-,-,30,3,27,3,-,3,122,3,119,70,3,67,49,-,49,3,-,3,6,-,6,1,-,1,2,-,2,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,1,-,1,1,-,1,838,172,666,10,5,5,4,-,4,3,-,3,384,113,271,38,1,37,346,112,234,310,5,305,244,5,239,17,-,17,7,-,7,15,-,15,-,-,-,27,-,27,15,-,15,10,4,6,7,3,4,27,8,19,1,1,-,1,1,-,4,-,4,1,-,1,28,12,16,11,3,8,-,-,-,-,-,-,-,-,-,-,-,-,22,17,5,-,-,-,-,-,-,-,-,-,546,16,530,-,-,-,12,-,12,1,-,1,16,16,-,-,-,-,-,-,-,350,-,350,167,-,167
愛知県,4816,1538,3278,11,1,10,4,1,3,3,-,3,1,-,1,2,-,2,1,-,1,225,30,195,29,1,28,2,-,2,7,-,7,-,-,-,92,-,92,-,-,-,13,3,10,62,10,52,20,16,4,214,4,210,69,-,69,129,4,125,16,-,16,18,1,17,3,1,2,10,-,10,-,-,-,1,-,1,1,-,1,2,-,2,-,-,-,1,-,1,2,-,2,2787,1495,1292,5,5,-,9,1,8,13,1,12,1340,645,695,58,35,23,1282,610,672,396,3,393,295,1,294,46,2,44,-,-,-,25,-,25,7,-,7,23,-,23,35,1,34,8,2,6,6,2,4,49,22,27,3,1,2,2,2,-,1,-,1,-,-,-,144,91,53,143,91,52,1,-,1,-,-,-,-,-,-,-,-,-,632,628,4,4,-,4,4,-,4,-,-,-,1555,7,1548,-,-,-,60,-,60,1,-,1,6,6,-,1,1,-,-,-,-,1189,-,1189,298,-,298
三重県,1103,271,832,4,-,4,3,-,3,-,-,-,1,-,1,-,-,-,-,-,-,84,17,67,19,5,14,1,-,1,4,-,4,1,-,1,31,-,31,-,-,-,12,9,3,13,2,11,3,1,2,51,-,51,39,-,39,11,-,11,1,-,1,4,-,4,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,1,-,1,1,-,1,470,217,253,8,2,6,3,-,3,4,-,4,326,167,159,15,12,3,311,155,156,42,2,40,28,2,26,7,-,7,1,-,1,1,-,1,-,-,-,5,-,5,11,-,11,4,-,4,4,3,1,11,4,7,1,-,1,1,1,-,7,-,7,-,-,-,24,17,7,13,11,2,1,-,1,-,-,-,-,-,-,-,-,-,10,10,-,2,-,2,2,-,2,-,-,-,487,37,450,-,-,-,1,-,1,1,-,1,37,37,-,-,-,-,-,-,-,221,-,221,227,-,227
滋賀県,697,148,549,5,-,5,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,49,6,43,6,-,6,1,-,1,-,-,-,-,-,-,20,-,20,-,-,-,4,2,2,18,4,14,-,-,-,35,-,35,22,-,22,13,-,13,-,-,-,4,1,3,1,-,1,1,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,1,1,-,429,122,307,7,3,4,1,-,1,2,-,2,202,51,151,19,6,13,183,45,138,130,2,128,81,2,79,16,-,16,1,-,1,28,-,28,-,-,-,4,-,4,4,-,4,2,1,1,3,1,2,8,7,1,1,-,1,1,1,-,2,-,2,1,-,1,28,25,3,5,1,4,-,-,-,1,-,1,-,-,-,-,-,-,31,30,1,2,-,2,2,-,2,-,-,-,172,18,154,-,-,-,-,-,-,-,-,-,22,18,4,-,-,-,-,-,-,54,-,54,96,-,96
京都府,1347,199,1148,5,-,5,1,-,1,-,-,-,4,-,4,-,-,-,-,-,-,127,17,110,16,-,16,1,-,1,2,-,2,-,-,-,66,-,66,-,-,-,4,3,1,24,11,13,14,3,11,78,2,76,49,1,48,25,1,24,4,-,4,14,-,14,1,-,1,6,-,6,-,-,-,-,-,-,1,-,1,2,-,2,2,-,2,2,-,2,1,1,-,804,143,661,19,9,10,4,-,4,4,-,4,375,85,290,35,5,30,340,80,260,183,1,182,162,-,162,2,-,2,1,-,1,12,-,12,-,-,-,6,1,5,13,-,13,3,-,3,5,1,4,14,1,13,2,-,2,1,1,-,3,-,3,-,-,-,149,30,119,21,11,10,-,-,-,-,-,-,-,-,-,2,-,2,6,4,2,1,-,1,1,-,1,-,-,-,317,36,281,-,-,-,1,-,1,-,-,-,36,36,-,-,-,-,-,-,-,117,-,117,163,-,163
大阪府,4600,303,4297,25,1,24,16,-,16,-,-,-,9,1,8,-,-,-,-,-,-,254,27,227,28,-,28,1,-,1,15,-,15,-,-,-,115,-,115,-,-,-,5,-,5,56,7,49,34,20,14,226,9,217,85,3,82,141,6,135,-,-,-,27,6,21,5,-,5,14,6,8,-,-,-,-,-,-,1,-,1,4,-,4,1,-,1,2,-,2,2,-,2,1771,237,1534,39,18,21,11,-,11,7,-,7,977,160,817,44,2,42,933,158,775,570,8,562,502,7,495,10,-,10,20,-,20,15,-,15,-,-,-,23,1,22,41,-,41,12,-,12,10,1,9,47,19,28,6,-,6,3,3,-,3,-,3,-,-,-,19,12,7,19,12,7,-,-,-,-,-,-,-,-,-,7,4,3,-,-,-,5,1,4,5,1,4,-,-,-,2290,22,2268,-,-,-,10,-,10,1,-,1,40,22,18,-,-,-,1,-,1,1653,-,1653,585,-,585
兵庫県,2681,351,2330,10,1,9,9,1,8,-,-,-,1,-,1,-,-,-,-,-,-,203,27,176,39,3,36,2,-,2,1,-,1,-,-,-,109,1,108,2,-,2,10,5,5,27,10,17,13,8,5,245,-,245,105,-,105,135,-,135,5,-,5,11,2,9,2,1,1,3,1,2,1,-,1,1,-,1,1,-,1,2,-,2,-,-,-,1,-,1,2,-,2,1311,244,1067,11,8,3,9,-,9,12,-,12,604,186,418,64,-,64,540,186,354,386,1,385,315,-,315,8,-,8,1,-,1,26,-,26,-,-,-,36,1,35,38,-,38,9,-,9,10,2,8,32,13,19,2,-,2,2,2,-,11,-,11,3,-,3,73,26,47,105,4,101,1,-,1,1,-,1,-,-,-,-,-,-,2,2,-,5,1,4,5,1,4,-,-,-,894,76,818,-,-,-,4,1,3,1,-,1,82,75,7,-,-,-,4,-,4,572,-,572,231,-,231
奈良県,636,132,504,5,-,5,2,-,2,-,-,-,3,-,3,-,-,-,-,-,-,70,10,60,11,2,9,1,-,1,6,-,6,-,-,-,34,-,34,-,-,-,6,4,2,12,4,8,-,-,-,56,1,55,33,-,33,19,1,18,4,-,4,4,2,2,1,1,-,1,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,-,1,-,-,-,241,85,156,4,3,1,2,-,2,3,-,3,126,50,76,1,-,1,125,50,75,50,6,44,41,5,36,3,1,2,-,-,-,4,-,4,-,-,-,2,-,2,6,-,6,3,1,2,2,-,2,10,1,9,-,-,-,1,1,-,2,-,2,1,-,1,19,14,5,9,8,1,-,-,-,-,-,-,-,-,-,-,-,-,3,1,2,-,-,-,-,-,-,-,-,-,260,34,226,-,-,-,-,-,-,-,-,-,40,34,6,-,-,-,-,-,-,148,-,148,72,-,72
和歌山県,699,199,500,4,-,4,2,-,2,-,-,-,2,-,2,-,-,-,-,-,-,39,7,32,12,5,7,1,-,1,-,-,-,-,-,-,23,-,23,-,-,-,2,1,1,-,-,-,1,1,-,45,-,45,25,-,25,20,-,20,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,1,1,-,247,137,110,4,3,1,1,-,1,4,3,1,141,74,67,33,16,17,108,58,50,5,-,5,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,8,1,7,2,-,2,5,1,4,17,-,17,1,-,1,1,1,-,2,-,2,1,-,1,44,44,-,11,10,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,361,54,307,-,-,-,-,-,-,-,-,-,54,54,-,-,-,-,-,-,-,181,-,181,126,-,126
